Company_Id,SCompanyName,FCompanyName,GroupCStaus,ParentCompany,FormerlyCalled,Permissions1,UserStatus,Industry,Sector,SubSector,BusinessDesc,Brands,Country,RegionId_FK,IncorpYear,ListingStatus,StockBSE,StockNSE,IPODate,AddressHead,AddressLine2,City,State,Pincode,AddressCountry,Phone,Fax,Email,Website,LinkedIn,google_fetched_website,Contact Name,Designation,Auditor,rgthcr,Profile_Flag,Added_Date,DealUrl,competitorsListed,competitorsUnListed,otherCompareListed,otherCompareUnListed,FYCount,GFYCount,cvid,CIN,Total_Income_equal_OpIncome
,STAR FERRO AND CEMENT ,STAR FERRO AND CEMENT LIMITED,Standalone,,,Non-Transacted,0,13,393,,Manufacture Of Ferro-Alloys,,113,,2011,Listed,,,,Vill.: Lunshnong,,116,17,793210,113,,,investors@starferrocement.com,www.starferrocement.com,,,Dilip Kumar Agarwal,CFO,,,,,,,,,,,,,L27310ML2011PLC008564,
,SHYAM CENTURY FERROUS ,SHYAM CENTURY FERROUS LIMITED,Standalone,,,Non-Transacted,0,13,393,,Manufacture Of Ferro-Alloys,,113,,2011,Listed,,,,"Vill: Lumshnong, P.o.khaliehriat",,116,17,793210,113,+91 33 4011 1000,+91 33 4011 1031,seltmt@shyamgroup.com,https://www.shyamgroup.com/contact.php,,,Sunil Kumar Jha ,CFO,,,,,,,,,,,,,L27310ML2011PLC008578,
,CHENNAI FERROUS INDUSTRIES ,CHENNAI FERROUS INDUSTRIES LIMITED,Standalone,,,Non-Transacted,0,13,393,,Manufacture Of Direct Reduction Of Iron (Sponge Iron) And Other Spongy Ferrous Products,,113,,2010,Listed,,,,"Opg Nagar, Periya Obulapuram Village",,489,24,601201,113,044-43487350 ,044-27991450,upport@chennaiferrous.com,www.chennaiferrous.com,,,R Natarajan,Managing Director,,,,,,,,,,,,,L27310TN2010PLC075626,
,MD INDUCTO CAST ,MD INDUCTO CAST LIMITED,Standalone,,,Non-Transacted,0,13,393,,Manufacture Of Basic Iron And Steel,,113,,2010,Listed,,,,"Md House,plot No.2715/a,near Central Salt",,162,7,364001,113,0278-2570133,0278-2570133,info@mdgroup.in,www.rudratmx.com,,,Nikhil Gupta,Managing Director,,,,,,,,,,,,,L28112GJ2010PLC062324,
,UMIYA TUBES ,UMIYA TUBES LIMITED,Standalone,,,Non-Transacted,0,13,393,,"Manufacture Of Tanks, Reservoirs And Containers Of Metal",,113,,2013,Listed,,,,"208, 2nd Floor, Suman Tower, Sector-11, Gandhinagar, Gujarat 382011",,28,7,382011,113,91 9033090050,,info@umiyatubes.com,http://www.umiyatubes.com/contacts.php,,,Surendrasinh Pravinsinh Vaghela,Managing Director,,,,,,,,,,,,,L28112GJ2013PLC074916,
,PERFECT INFRAENGINEERS ,PERFECT INFRAENGINEERS LIMITED,Standalone,,,Non-Transacted,0,6,216,,"Plumbing, Heat And Air-Conditioning Installation",,113,,1996,Listed,,,,Plot No. R-637,,132,15,400708,113,+91 22 27606264,,neeharika@perfectinfra.com,,,,Nimesh Natvarlal Mehta,Managing Director,,,,,,,,,,,,,L29190MH1996PLC099583,
,SAGARDEEP ALLOYS ,SAGARDEEP ALLOYS LIMITED,Standalone,,,Non-Transacted,0,13,393,,"Manufacture Of Copper From Ore, And Other Copper Products And Alloys",,113,,2007,Listed,,,,"205, Pittalaya Bumba",,23,7,380001,113,"079-2562 6304, 2562 6535",079-2562 6535,"secretary@sdalloys.com, investors@sdalloys.com",www.sdalloys.com,,,Satishkumar A Mehta,Managing Director,,,,,,,,,,,,,L29253GJ2007PLC050007,
,MR ORGANISATION ,MR ORGANISATION LIMITED,Standalone,,,Non-Transacted,0,13,505,,"Manufacture Of Other Pumps, Compressors, Taps And Valves Etc.",,113,,2013,Listed,,,,"B-8, Capital Commercial Centre",,23,7,380009,113,079-29098077,079-27497449,cs@mrocompparts.com,http://www.mrocompparts.com/index.html,,,Mayur Indrakant Kamdar,Managing Director,,,,,,,,,,,,,L29305GJ2013PLC074365,
,DHABRIYA POLYWOOD ,DHABRIYA POLYWOOD LIMITED,Standalone,,,Non-Transacted,0,13,444,,Manufacture Of Other Plastics Products N.E.C.,,113,,1992,Listed,,,,B-9 D (1),,85,22,302017,113,+91-141-4057171,+91-141-2750814,cs@polywood.org,www.polywood.org,,,Digvijay Dhabriya,Managing Director,,,,,,,,,,,,,L29305RJ1992PLC007003,
,DHANUKA COMMERCIAL ,DHANUKA COMMERCIAL LIMITED,Standalone,,,Non-Transacted,0,2,237,,Other Credit Granting,,113,,1994,Listed,,,,"61, Vats Market",,20,33,110034,113,+91–11–45132171,+91–11–45132171,info@dhanukacommercial.com / dhanukacommercialltd@gmail.com,www.dhanukacommercial.com,,,Mahesh Kumar Dhanuka,Managing Director,,,,,,,,,,,,,L30007DL1994PLC260191,
,ABACUS COMPUTERS ,ABACUS COMPUTERS LIMITED,Standalone,,,Non-Transacted,0,6,223,,Construction Of Buildings,,113,,1983,Listed,,,,"B - 206, Neminath Society",,67,15,400057,113,"+91 022-22040888, 22823173",+91 022-22872309,abacomltd@gmail.com,www.abacuscomputers.co.in,,,Santosh Karambelkar,Managing Director,,,,,,,,,,,,,L30007MH1983PLC030982,
,TENTIWALA METAL PRODUCTS ,TENTIWALA METAL PRODUCTS LIMITED,Standalone,,,Non-Transacted,0,13,393,,Manufacture Of Aluminium From Alumina And By Other Methods And Products Of Aluminium And Alloys,,113,,1994,Listed,,,,Delhi Masani Road,,414,27,281003,113,+ 91 - 565 - 2530032,+ 91 - 565 - 2530033,cs@tentiwala.com,www.tentiwal.co.in,,,Radha Pad Tentiwala,Managing Director,,,,,,,,,,,,,L31101UP1994PLC016107,
,BC POWER CONTROLS ,BC POWER CONTROLS LIMITED,Standalone,,,Non-Transacted,0,13,393,,"Manufacture Of Copper From Ore, And Other Copper Products And Alloys",,113,,2008,Listed,,,,"7 A/39, Wea Channa Market",,20,33,110005,113,91-011-47532792/95,91-011-47532798,info@bolongroup.com,www.bcpowercontrols.com,,,Arun Kumar Jain,Managing Director,,,,,,,,,,,,,L31300DL2008PLC179414,
,ULTRACAB (INDIA) ,ULTRACAB (INDIA) LIMITED,Standalone,,,Non-Transacted,0,13,369,,"Manufacture Of Other Electronic And Electric Wires And Cables (Insulated Wire And Cable Made Of Steel, Copper, Aluminium)",,113,,2007,Listed,,,,Survey No.262,,30,7,360024,113,+91 2827 253122/23,+91 2827 252725,ipo@ultracab.in,www.ultracab.in,,,Nitesh Parshottambhai Vaghasiya,Managing Director,,,,,,,,,,,,,L31300GJ2007PLC052394,
,TUMUS ELECTRIC CORPORATION ,TUMUS ELECTRIC CORPORATION LIMITED,Standalone,,,Non-Transacted,0,13,506,,Manufacture Of Electrical Equipment,,113,,1973,Listed,,,,"Ground Fllor, Bagri Niwas",,67,15,400002,113,022-22721981,,compliance.tumus@gmail.com,www.tumuselectric.com,,,Navinchandra Patel,Managing Director,,,,,,,,,,,,,L31300MH1973PLC285730,
,ADVANCE METERING TECHNOLOGY ,ADVANCE METERING TECHNOLOGY LIMITED,Standalone,,,Non-Transacted,0,13,506,,"Manufacture Of Consumption Meters For Electricity, Water Or Gas, Flow Meters And Counting Meters",,113,,2011,Listed,,,,15th Floor,,20,33,110019,113,0120 453 1400,,corporate@pkgroup.in,www.pkrgroup.in,,,Pranav Kumar Ranade,Managing Director,,,,,,,,,,,,,L31401HR2011PLC042015,
,SCHNEIDER ELECTRIC PRESIDENT SYSTEMS ,SCHNEIDER ELECTRIC PRESIDENT SYSTEMS LIMITED,Standalone,,,Non-Transacted,0,13,506,,Other Manufacturing N.E.C.,,113,,1984,Listed,,,,5 C/1,,43,12,562107,113,080 43333058,080 27820333,vighneshwar.bhat@schneider-electric.com,www.apwpresident.com,,,S Venkatraman,Managing Director,,,,,,,,,,,,,L32109MH1984PLC034340,
,SAI MOH AUTO LINKS ,SAI MOH AUTO LINKS LIMITED,Standalone,,,Non-Transacted,0,2,237,Financial Services,"Other Financial Service Activities, Except Insurance And Pension Funding Activities",,113,,1985,Listed,,,,"8/33, Iiird Floor",,20,33,110005,113,011 - 42773662,,saimohauto@gmail.com  ,www.saimohauto.com,,,Bhim Sain Saggar,Managing Director,,,,,,,,,,,,,L34300DL1985PLC020510,
,PRITIKA AUTOCAST ,PRITIKA AUTOCAST LIMITED,Standalone,,,Non-Transacted,0,13,37,,Manufacture Of Parts And Accessories For Motor Vehicles,,113,,2005,Listed,,,,Village Bathri,,40,9,174301,113,01975-257247,,info@pritikagroup.com,www.pritikagroup.com,,,Harpreet Singh Nibber,Managing Director,,,,,,,,,,,,,L34300HP2005PLC029149,
,SIDDHI VINAYAK SHIPPING CORPORATION ,SIDDHI VINAYAK SHIPPING CORPORATION LIMITED,Standalone,,,Non-Transacted,0,18,536,,"Building Of Commercial Vessels: Passenger Vessels, Ferry-Boats, Cargo Ships, Tankers, Tugs, Hovercraft (Except Recreation-Type Hovercraft) Etc.",,113,,2012,Listed,,,,"Office Block, 1st Floor",,32,7,394221,113,91-261-2894415/19,91-261-2894419,admin@sivishipping.com,www.sivishipping.com,,,Mustafa Moiz Haji,CFO,,,,,,,,,,,,,L35111GJ2012PLC068922,
,KP ENERGY ,KP ENERGY LIMITED,Standalone,,,Non-Transacted,0,5,71,,"Electrical, plumbing and other construction installation activities",,113,,2010,Listed,,,,"A-1/2, Firdos Tower",,32,7,395009,113,+91-261-2764757,+91-261-2764757,info@kpenergy.in,www.kpenergy.in,,,Farukbhai Patel,Managing Director,,,,,,,,,,,,,L40100GJ2010PLC059169,
,IND RENEWABLE ENERGY ,IND RENEWABLE ENERGY LIMITED,Standalone,,,Non-Transacted,0,6,223,,"Construction/Erection And Maintenance Of Power, Telecommunication And Transmission Lines",,113,,2011,Listed,,,,"Suite 67, Regent Chmabers",,67,15,400021,113,91-022-22049233,91-022-22870540,info@vakharia.in,www.vakharia.in,,,Mr. Kalpesh Kantilal Sanghvi,CFO,,,,,,,,,,,,,L40102MH2011PLC221715,
,GITA RENEWABLE ENERGY ,GITA RENEWABLE ENERGY LIMITED,Standalone,,,Non-Transacted,0,5,71,,Electric Power Generation Using Other Non Conventional Sources,,113,,2010,Listed,,,,"Survey No.180 & 181, Opg Nagar",,489,24,601201,113, 044-43487350 ,,support@gitarenewable.com,www.gitarenewable.com,,,R Natarajan,Managing Director,,,,,,,,,,,,,L40108TN2010PLC074394,
,GUJARAT GAS ,GUJARAT GAS LIMITED,Standalone,,,Non-Transacted,0,16,392,,"Wholesale Of Solid, Liquid And Gaseous Fuels And Related Products",,113,,2012,Listed,,,,"Block No. 15, 3rd Floor",,28,7,382011,113,"91-79-26462980, 26460095",,rajeshwari.sharma@gujaratgas.com,http://www.gujaratgas.com/contact-us/offices/,,,Nitesh Bhandari ,CFO,,,,,,,,,,,,,L40200GJ2012SGC069118,
,MAHANAGAR GAS ,MAHANAGAR GAS LIMITED,Standalone,,,Non-Transacted,0,5,198,,Disrtibution And Sale Of Gaseous Fuels Through Mains,,113,,1995,Listed,,,,M G L House,,67,15,400051,113,+91 (22) 6695 2941,+91 (22) 6675 6491,mgl.ipo@mahanagargas.com,www.mahanagargas.com,,,Rajeev Kumar Mathur,Managing Director,,,,,,,,,,,,,L40200MH1995PLC088133,
,RAGHUVANSH AGROFARMS ,RAGHUVANSH AGROFARMS LIMITED,Standalone,,,Non-Transacted,0,1,360,,Growing Of Non-Perennial Crops,,113,,1996,Listed,,,,201 - 202,,20,33,110005,113,+91-11-23634461,,"raghuvanshagro@gmail.com, rafl666@rediffmail.com",www.raghuvanshagro.com,,,Subodh Agarwal,Managing Director,,,,,,,,,,,,,L40300DL1996PLC258176,
,ADANI TRANSMISSION ,ADANI TRANSMISSION LIMITED,Standalone,,,Non-Transacted,0,5,71,,Transmission Of Electric Energy,,113,,2013,Listed,,,,"Adani House, Nr. Mithakhali Six Roads",,23,7,380009,113,079-26565555/079-25555555,079-25555500/079-26565500,hardik.sanghvi@adani.com,www.adanitransmission.com,,,Kaushal G. Shah ,CFO,,,,,,,,,,,,,L40300GJ2013PLC077803,
,FILTRA CONSULTANTS AND ENGINEERS ,FILTRA CONSULTANTS AND ENGINEERS LIMITED,Standalone,,,Non-Transacted,0,6,33,,"Water Collection, Treatment And Supply",,113,,2011,Listed,,,,"1501, Synergy Business Park,sahakar Wadi",,67,15,400063,113,022-29271998/5907/6189 8700,022-29271998,investor@filtra.in/filtraw@gmail.com,www.filtra.in,,,Ketan Khant,Managing Director,,,,,,,,,,,,,L41000MH2011PLC217837,
,HEC INFRA PROJECTS ,HEC INFRA PROJECTS LIMITED,Standalone,,,Non-Transacted,0,6,223,,Civil Engineering,,113,,2005,Listed,,,,"Sigma 1 Corporate, Corporate House No.6",,23,7,380054,113,079-40086771-74,079-40086771,elect@hecproject.com,www.hecprojects.in,,,Gaurang Shah,Managing Director,,,,,,,,,,,,,L45200GJ2005PLC046870,
,TIVOLI CONSTRUCTION ,TIVOLI CONSTRUCTION LIMITED,Standalone,,,Non-Transacted,0,6,223,,Construction Of Buildings,,113,,1985,Listed,,,,Raheja Chambers,,67,15,400021,113,022-2287 3185,,tivoliconstruction@yahoo.co.in,www.tivoliconstruction.in,,,Kirit Thacker ,Director,,,,,,,,,,,,,L45200MH1985PLC037365,
,MEP INFRASTRUCTURE DEVELOPERS ,MEP INFRASTRUCTURE DEVELOPERS LIMITED,Standalone,,,Non-Transacted,0,6,223,,"Construction And Maintenance Of Motorways, Streets, Roads, Other Vehicular And Pedestrian Ways, Highways, Bridges, Tunnels And Subways",,113,,2002,Listed,,,,"A 412, Boomerang, Chandivali Farm Road",,67,15,400072,113,(91 22) 6120 4800,(91 22) 6120 4804,investorrelations@mepinfra.com,www.mepinfra.com,,,Jayant D Mhaiskar,Managing Director,,,,,,,,,,,,,L45200MH2002PLC136779,
,ATHENA CONSTRUCTIONS ,ATHENA CONSTRUCTIONS LIMITED,Standalone,,,Non-Transacted,0,6,223,,Construction Of Buildings,,113,,2011,Listed,,,,"203, Shyam Kamal",,67,15,400005,113,91-22-4209 1041,91-22-4209 1023,athenaconstructions2011@gmail.com,www.constructions.athenaindia.co.in,,,Ravikant Rathi,Managing Director,,,,,,,,,,,,,L45200MH2011PLC215562,
,AGI INFRA ,AGI INFRA LIMITED,Standalone,,,Non-Transacted,0,6,223,,Construction Of Buildings,,113,,2005,Listed,,,,"Jalandhar Heights, 66 Ft Road",,270,21,144001,113,91 - 181 - 2681986,91 - 181 - 2681886,info@agiinfra.com,www.agiinfra.com,,,S Sukhdev Singh,Managing Director,,,,,,,,,,,,,L45200PB2005PLC028466,
,LANCO INFRATECH ,LANCO INFRATECH LIMITED,Standalone,,,Non-Transacted,0,6,223,,Other Specialized Construction Activities,,113,,1993,Listed,,,,Plot No 4  Software Units Layout,,3,1,500081,113,040-4009 0400    ,040-2311 6127,complianceofficer.litl@lancogroup.com,www.lancogroup.com,,,G Venkatesh Babu,Managing Director,,,,,,,,,,,,,L45200TG1993PLC015545,
,BHANDERI INFRACON ,BHANDERI INFRACON LIMITED,Standalone,,,Non-Transacted,0,6,223,,Construction Of Buildings,,113,,2004,Listed,,,,"B/12, Jabuka Complex, Near Bajrang Ashram,below Vikas School",,23,7,382350,113,+91 - 79 - 2283 0245,+91 - 79 - 2283 0245 ,bhanderiinfracon@gmail.com,www.bhanderiinfracon.com,,,Sunil Patel,Managing Director,,,,,,,,,,,,,L45201GJ2004PLC044481,
,AKME STAR HOUSING FINANCE ,AKME STAR HOUSING FINANCE LIMITED,Standalone,,,Non-Transacted,0,2,237,,Activities Of Specialized Institutions Granting Credit For House Purchases That Also Take Deposits,,113,,2005,Listed,,,,Akme Business Centre ,,87,22,313002,113,0294-2489501,0294 2489501,akmestarhousing@yahoo.com,www.akmestarhousing.com,,,Mohan Lal Nagda,Managing Director,,,,,,,,,,,,,L45201RJ2005PLC020463,
,SADBHAV INFRASTRUCTURE PROJECT ,SADBHAV INFRASTRUCTURE PROJECT LIMITED,Standalone,,,Non-Transacted,0,6,223,,"Construction And Maintenance Of Motorways, Streets, Roads, Other Vehicular And Pedestrian Ways, Highways, Bridges, Tunnels And Subways",,113,,2007,Listed,,,,""" Sadbhav House""",,23,7,380006,113,079-26463384,079-26400210,investor@sadbhavinfra.co.in,www.sadbhavinfra.co.in,,,Vasistha C Patel,Managing Director,,,,,,,,,,,,,L45202GJ2007PLC049808,
,GMR INFRASTRUCTURE ,GMR INFRASTRUCTURE LIMITED,Standalone,,,Non-Transacted,0,2,237,,Management Of Other Investment Funds,,113,,1996,Listed,,,,"Naman Centre, 7th Floor",,67,15,400051,113,022 4202 8000,022 4202 8004,sounderarajan.cp@gmrgroup.in,www.gmrgroup.in,,,Grandhi Kiran Kumar,Managing Director,,,,,,,,,,,,,L45203KA1996PLC034805,
,QVC REALTY CO. ,QVC REALTY CO. LIMITED,Standalone,,,Non-Transacted,0,6,223,,Construction Of Buildings,,113,,2007,Listed,,,,"89/1, Raja Ikon Building, 2nd Floor",,43,12,560037,113,080-40250333,080-40250350,contact@qvcrealty.com,www.qvcrealty.com,,,Prakash Gurbaxani,Managing Director,,,,,,,,,,,,,L45208KA2007PLC041581,
,CRANE INFRASTRUCTURE ,CRANE INFRASTRUCTURE LIMITED,Standalone,,,Non-Transacted,0,27,571,,Real Estate Activities With Own Or Leased Property,,113,,2008,Listed,,,,D.no - 25-18-54,,166,1,522004,113,(0863) 2223311,,craneinfrastructureltd@gmail.com,http://www.cranegroup.in/cil/index.html,,,Ch. V. S. S. Kishore Kumar ,CFO,,,,,,,,,,,,,L45209AP2008PLC059135,
,MADHUBAN CONSTRUCTIONS ,MADHUBAN CONSTRUCTIONS LIMITED,Standalone,,,Non-Transacted,0,6,223,,Construction Of Buildings,,113,,2008,Listed,,,,"210 , Karkadooma",,20,33,110092,113,91-11-32319436,91-11-32319436,madhubanconstructions@yahoo.com,www.madhubancon.com,,,Krishna Bharti ,Chairman,,,,,,,,,,,,,L45209DL2008PLC174948,
,ECO FRIENDLY FOOD PROCESSING PARK ,ECO FRIENDLY FOOD PROCESSING PARK LIMITED,Standalone,,,Non-Transacted,0,1,360,,"Growing Of Cereals (Except Rice), Leguminous Crops And Oil Seeds",,113,,2008,Listed,,,,"49, Gujrawala Town Part-2,",,20,33,110009,113,011-32971926,011-32971926,"info@ecofriendlyfood.in, ecofriendlyfood@yahoo.com",www.ecofriendlyfood.in,,,Brij Kishore Sabharwal,Director,,,,,,,,,,,,,L45209DL2008PLC181131,
,MURAD PROPERTIES & PROJECTS ,MURAD PROPERTIES & PROJECTS LIMITED,Standalone,,,Non-Transacted,0,6,223,,Construction Of Buildings,,113,,1983,Listed,,,,"New Delhi - 110 009,",,23,7,380014,113,91-079-27541156,,muradprop1983@gmail.com,www.muradpropertiesltd.com ,,,Michael James Christain,CEO,,,,,,,,,,,,,L45209GJ1983PLC092054,
,JET INFRAVENTURE ,JET INFRAVENTURE LIMITED,Standalone,,,Non-Transacted,0,6,223,,Construction Of Buildings,,113,,2001,Listed,,,,"Office No.1,nandanvan Business Centre,e-wing,1 Flr",,67,15,400067,113,+91-22-28676233,+91-22-28676233,info@jetinfra.com,www.jetinfra.com,,,Rajul Shah,Managing Director,,,,,,,,,,,,,L45400MH2001PLC133483,
,SILVERPOINT INFRATECH ,SILVERPOINT INFRATECH LIMITED,Standalone,,,Non-Transacted,0,6,223,,Civil Engineering,,113,,1997,Listed,,,,"301, 3rd Floor, Ananta Bhawan",,253,28,711109,113,+91 33 3256 2881,+91 33 4004 7910,info@silverpointinfratech.com,www.silvepointinfratech.com,,,Sanjay Kumar Drolia,Managing Director,,,,,,,,,,,,,L45400WB1997PLC083457,
,SUPREME (INDIA) IMPEX ,SUPREME (INDIA) IMPEX LIMITED,Standalone,,,Non-Transacted,0,16,392,,"Wholesale Of Textiles, Fabrics, Yarn, Household Linen, Articles Of Clothing, Floor Coverings And Tapestry, Sports Clothes",,113,,1995,Listed,,,,Plot No.823/2,,32,7,394230,113,2612399355,,supreme_india@hotmail.com,www.supremeexports.com,,,Jugal Kishore Chhaganlal Jhawar,Managing Director,,,,,,,,,,,,,L51100GJ1995PLC026968,
,BAZEL INTERNATIONAL ,BAZEL INTERNATIONAL LIMITED,Standalone,,,Non-Transacted,0,2,237,,Other Credit Granting,,113,,1982,Listed,,,,138 Beliaghata Road,,109,28,700015,113,,,bazelinternational@gmail.com,www.bazelinternationallimited.com,,,Harkesh Kumar Allagh,Managing Director,,,,,,,,,,,,,L51109DL1982PLC290287,
,BALGOPAL COMMERCIAL ,BALGOPAL COMMERCIAL LIMITED,Standalone,,,Non-Transacted,0,16,392,,Wholesale Of Other Clothing Items N.E.C.,,113,,1982,Listed,,,,"23, Pollock Street",,109,28,700001,113,033-32639585,,info@bcommercial.org,www.bcommercial.org,,,Banwari Lal Mahansaria,CFO,,,,,,,,,,,,,L51109WB1982PLC035193,
,GOLDEN CREST EDUCATION & SERVICES ,GOLDEN CREST EDUCATION & SERVICES LIMITED,Standalone,,,Non-Transacted,0,4,475,,Educational Support Services,,113,,1982,Listed,,,,"Room No. 2,62a",,109,28,700029,113,033 31909010,,info@goldencrest.in,www.goldencrest.in,,,Ashish Bhansali ,CFO,,,,,,,,,,,,,L51109WB1982PLC035565,
,SIROHIA & SONS ,SIROHIA & SONS LIMITED,Standalone,,,Non-Transacted,0,16,392,,"Wholesale Of Tea, Coffee & Cocoa",,113,,1990,Listed,,,,"16, Bonfields Lane",,109,28,700001,113,033 4017 0700,033 4017 0701,info@sirohia.com,www.sirohia.com,,,Rakesh Sirohia,Managing Director,,,,,,,,,,,,,L51109WB1990PLC049105,
,ANUBHAV INFRASTRUCTURE ,ANUBHAV INFRASTRUCTURE LIMITED,Standalone,,,Non-Transacted,0,6,223,,Construction Of Other Civil Engineering Projects,,113,,2006,Listed,,,,"Room No. 303, 3rd Floor, Ananta Bhavan",,253,28,711109,113,+91 33 3261 3440,+91 33 2644 2626,info@anubhavinfrastructure.com,www.anubhavinfrastructure.com,,,Dinesh Agarwal,Managing Director,,,,,,,,,,,,,L51109WB2006PLC107433,
,SPISYS ,SPISYS LIMITED,Standalone,,,Non-Transacted,0,7,174,,Manufacture Of Other Food Products,,113,,1994,Listed,,,,Plot No.164 & 165,,319,1,502307,113,91-08455-224107,91-040-23543701//702/703,infospisysltd@gmail.com,http://spisyslimited.com/,,,Sobhanadri Jonnalagadda,Managing Director,,,,,,,,,,,,,L51219TG1994PLC017767,
,BRONZE TRADING ,BRONZE TRADING LIMITED,Standalone,,,Non-Transacted,0,16,392,,Wholesale Of Cereals & Pulses,,113,,1984,Listed,,,,"12/2, Ajanta Commercial Centre",,23,7,380014,113,,,bronzetradinglimited@gmail.com,www.bronzetrading.co.in,,,Mr. Rajendra Dahyalal Pathak,Managing Director,,,,,,,,,,,,,L51431CH1984PLC023818,
,CHAMAK HOLDINGS ,CHAMAK HOLDINGS LIMITED,Standalone,,,Non-Transacted,0,13,393,,Manufacture Of Basic Iron And Steel,,113,,1984,Listed,,,,"55 B Rama Road, Industrial Area",,20,33,110015,113,"011 45691047, 32997555",011 41428521,chamakholdings@gmail.com,www.chamakholdings.com,,,Anubhav Kathuria,Managing Director,,,,,,,,,,,,,L51494DL1984PLC019684,
,ARTECH POWER & TRADING ,ARTECH POWER & TRADING LIMITED,Standalone,,,Non-Transacted,0,13,506,,Manufacture Of Electronic Components,,113,,1989,Listed,,,,"101-104, 1st Floor, Tower A ",,67,15,400013,113,022 61171101,022 24901329,artech.power@gmail.com,www.artechpower.com,,,Abhishek Jain,Managing Director,,,,,,,,,,,,,L51505MH1989PLC284728,
,BLS INTERNATIONAL SERVICES ,BLS INTERNATIONAL SERVICES LIMITED,Standalone,,,Non-Transacted,0,2,80,,Other Business Support Service Activities N.E.C.,,113,,1983,Listed,,,,"G-4b-1, Extension, Mohan Co-operative Indl. Estate,",,20,33,110044,113,+91-11-26972484,,investors@blsinternational.net,http://www.blsinternational.com/contact-us.php,,,Nikhil Gupta,Managing Director,,,,,,,,,,,,,L51909DL1983PLC016907,
,IFM IMPEX GLOBAL ,IFM IMPEX GLOBAL LIMITED,Standalone,,,Non-Transacted,0,7,174,,Manufacture Of Food Products,,113,,1986,Listed,,,,C - 351 / 9,,20,33,110033,113,91-011-27672349,91-011-27670436,ifmimpex@gmail.com,www.ifmglobal.net/www.ifmimpex.com,,,O P Yadav,Managing Director,,,,,,,,,,,,,L51909DL1986PLC025457,
,YOGYA ENTERPRISES ,YOGYA ENTERPRISES LIMITED,Standalone,,,Non-Transacted,0,16,205,,Other Non-Specialised Wholesale Trade N.E.C.,,113,,2010,Listed,,,,"203, Gupta Arcade",,20,33,110092,113,011-4376 3300,,md@yogya.co.in,www.yogya.co.in,,,Rajeev Gupta,Managing Director,,,,,,,,,,,,,L51909DL2010PLC208333,
,OASIS TRADELINK ,OASIS TRADELINK LIMITED,Standalone,,,Non-Transacted,0,16,392,,"Wholesale Of Edible Oils, Fats, Sugar And Processed/Manufactured Spices Etc.",,113,,1996,Listed,,,,"1st Floor, Maruti House,opp. Sales India",,23,7,380009,113,91-79-2646 4089 /2754 2998/65151501,91-79-2754 1625,info@oasistradelink.in; oasistradelink@gmail.com/shahrakshit27@yahoo.co.in,www.oasistradelink.in,,,Snehal B Patel,CEO,,,,,,,,,,,,,L51909GJ1996PLC031163,
,IGC FOILS ,IGC FOILS LIMITED,Standalone,,,Non-Transacted,0,16,392,,"Wholesale Of Textiles, Fabrics, Yarn, Household Linen, Articles Of Clothing, Floor Coverings And Tapestry, Sports Clothes",,113,,1980,Listed,,,,Impax Lohia Square,,109,28,700012,113,022 28020017/18,,"igcfoils@gmail.com,investor.relations@igcfoils.com,support@igcfoils.com",www.igcfoils.com,,,Disha A Mehta,Managing Director,,,,,,,,,,,,,L51909WB1980PLC032950,
,RADHAGOBIND COMMERCIAL ,RADHAGOBIND COMMERCIAL LIMITED,Standalone,,,Non-Transacted,0,16,392,,"Wholesale Of Textiles, Fabrics, Yarn, Household Linen, Articles Of Clothing, Floor Coverings And Tapestry, Sports Clothes",,113,,1981,Listed,,,,"40, Metcalfe Street",,109,28,700013,113,033-64585001,,radhagobindcommercialltd@gmail.com,www.radhagobindcommercial.com  ,,,Sanjay Kumar Tiwari,Managing Director,,,,,,,,,,,,,L51909WB1981PLC033680,
,KIRAN VYAPAR ,KIRAN VYAPAR LIMITED,Standalone,,,Non-Transacted,0,2,237,Financial Services,"Other Financial Service Activities, Except Insurance And Pension Funding Activities",,113,,1995,Listed,,,,"Krishna, 7th Floor, Room No. 706",,109,28,700017,113,91-033-22230016 / 18,91-033-22231569,kvl@lnbgroup.com,www.lnbgroup.com,,,Shreeyash Bangur,Managing Director,,,,,,,,,,,,,L51909WB1995PLC071730,
,STATUS PORTFOLIOS ,STATUS PORTFOLIOS LIMITED,Standalone,,,Non-Transacted,0,2,237,,"Trusts, Funds And Other Financial Vehicles",,113,,1982,Listed,,,,"37-38, Jain Bhawan",,20,33,110001,113,011-23361738,,statusportfolios@yahoo.com,www.statusportfolios.com,,,SUNIL TARACHAND KALA,Director,,,,,,,,,,,,,L52100DL1982PLC014677,
,FUTURE LIFESTYLE FASHIONS ,FUTURE LIFESTYLE FASHIONS LIMITED,Standalone,,,Non-Transacted,0,17,367,,"Fashion Design Related To Textiles, Wearing Apparel, Shoes, Jewelry, Furniture And Other Fashion Goods As Well As Other Personal Or Household Goods",,113,,2012,Listed,,,,Knowledge House,,67,15,400060,113,91-022-30842336,91-022-30842502,investorrelations@futurelifestyle.in,www.futurelifestyle.in,,,Kishore Biyani,Managing Director,,,,,,,,,,,,,L52100MH2012PLC231654,
