Company_Id,SCompanyName,FCompanyName,GroupCStaus,ParentCompany,FormerlyCalled,Permissions1,UserStatus,Industry,Sector,SubSector,BusinessDesc,Brands,Country,RegionId_FK,IncorpYear,ListingStatus,StockBSE,StockNSE,IPODate,AddressHead,AddressLine2,City,State,Pincode,AddressCountry,Phone,Fax,Email,Website,LinkedIn,google_fetched_website,GroupCStaus,ParentCompany,FormerlyCalled,Permissions1,UserStatus,Industry,Sector,SubSector,BusinessDesc,Brands,Country,RegionId_FK,IncorpYear,ListingStatus,StockBSE,StockNSE,IPODate,AddressHead,AddressLine2,City,State,Pincode,AddressCountry,Phone,Fax,Email,Website,LinkedIn,google_fetched_website,Contact Name,Designation,,rgthcr,Profile_Flag,Added_Date,DealUrl,competitorsListed,competitorsUnListed,otherCompareListed,otherCompareUnListed,FYCount,GFYCount,cvid,CIN,Total_Income_equal_OpIncome
,,,,,,,,,,,,,,,1985,Listed,,,,125/126,,69,15,425405,113,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,2009,Listed,,,,"29 A, Weston Street",,109,28,700012,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1935,Listed,,,,W-21/674,,465,13,688012,113,+91 0477-2243624,+91 0477-2243626,avt.alapuzha@gmail.com,www.avthomas.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1941,Listed,,,,"60, Rukmani Lakshmipathi Salai",,88,24,600008,113,91-044-28553249,91-044-28553257,statutory@avtcorp.in,www.avthomasinternational.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1982,Listed,,,,"4,india Exchange Place",,109,28,700001,113,033-22311935,033-22300473,kumarmetal35@bsnl.in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1993,Listed,,,,""" Agarwal House"" 5",,60,14,452003,113,-2576899,,available_fin@rediffmail.com,www.availablefinance.in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1985,Listed,,,,"D-604, 6th Floor",,67,15,400053,113, ,,investors@avance.in,www.avance.in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1990,Listed,,,,Sy No. 141,,8,1,531163,113,-6698800,-6698804,satishbabu@avantel.in; & info@avantel.in,www.avantel.in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1993,Listed,,,,"House No.3, Plot No.3",,8,1,530045,113,,,avantiho@avantifeeds.Com,www.avantifeeds.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1976,Listed,,,,"Avanti , Kambakkam Village",,1,1,517541,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1989,Listed,,,,110,,74,15,401210,113,,,avichem@vsnl.com,www.aviphoto.in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1993,Listed,,,,"Ambica Compound, Old H. B. Road",,263,11,834001,113,91-0651-204077,91-0651-206537,avipolymer@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1995,Listed,,,,"C- 318, Shabri Apartment,",,23,7,380015,113,,,--,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1984,Listed,,,,"17, Mumtaz Manzil",,67,15,400005,113,,,cs@avivaindustries.com,www.avivaindustries.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1999,Listed,,,,"15/b, 2nd Floor",,67,15,400058,113,,,cs@avon.co.in,www.avon.co.in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1988,Listed,,,,14 - 2 - 161,,3,1,500012,113,     ,-- ,--,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1993,Listed,,,,"Survey No. 18,",,319,1,502291,113,,,cs_1@avonorganicsltd.com,www.avonorganicsltd.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1985,Listed,,,,S Global Knowledge Park,,103,27,201301,113,     ,,spice.jyoti@gmail.com,www.avonmercantile.in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1991,Listed,,,,F - 33/3,,19,33,110020,113,,,complianceacms@almondz.com,www.almondzcapital.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1983,Listed,,,,1 Sarojini Naidu Sarani,,109,28,700017,113,91-033-22831865,,accounts@merlinholdings.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1986,Listed,,,,60,,88,24,600008,113,044-2858 4147    ,044-2858 4147  ,avtnpl@avtnatural.com,www.avtnatural.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1992,Listed,,,,S No. 309,,33,7,391780,113,02667- 244395 244438   ,02667- 244395 244438 ,info@axelindia.com,www.axelindia.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1993,Listed,,,,"Trishul , 3rd Floor ",,23,7,380006,113,079-66306161,079-26409321,shareholders@axisbank.com,www.axisbank.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Listed,,,,,,,1,,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1983,Listed,,,,12 - 5 - 34 & 35 / 1,,3,1,500017,113,,,guptacarpets@in.com,www.guptacarpets.in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1990,Listed,,,,Block C,,43,12,560025,113,     ,,shaequeries@axisitt.com,www.axisitt.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1982,Listed,,,,Shop No.26,,67,15,400053,113,,,axoninfotechltd@gmail.com,www.axoninfotech.in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1995,Listed,,,,5-9-34/2,,3,1,500063,113,-2399207,,officeadmin@axsys-healthtech.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1991,Listed,,,,Plot No 43/1,,29,7,389350,113,02676- 247900    ,02676- 247125  ,mcr@axtelindia.com,www.axtelindia.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1984,Listed,,,,B - 1 ,,74,15,400056,113,022-24819000,022-24963137,s.singhal@ep.esselgroup.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1983,Listed,,,,Survey No. 394 (P),,268,7,396230,113,,,allcompanysecretaryofwsl@welspun.com,www.welspunsyntex.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1985,Listed,,,,Laxmi Commercial Centre,,67,15,400028,113,022-22816379,022-22813873,ayokimerchantile@gmail.com,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1992,Listed,,,,"1st Floor, Prasad Shopping Centre",,67,15,400062,113,,,r_jain64@hotmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1993,Listed,,,,"461, Nandan Arcade",,74,15,421302,113,,,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1982,Listed,,,,"5, Moorti Bunglow",,23,7,380015,113,"079 - 65214174, 64502351",079 -26921542,bnanji@hotmail.com,www.bnanji.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1915,Listed,,,,Indu Bhawan,,10,3,785001,113,,,investorrelations@bandaltd.in,www.barooahs.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1986,Listed,,,,1185 / 1186,,75,20,751018,113,0674- 2430064    ,,,www.bampl.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1983,Listed,,,,"No. 17, 4th Floor",,43,12,560052,113,080 22203274 / 75,080 22202029,info@bbrl.in,www.bbrl.in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1994,Listed,,,,"6-3-1112, 3rd & 4th Floor",,3,1,500016,113,91-40-2337 2522 / 2337 8802 ,91-40-2332 2385 ,investorservice@b2bsoftech.com,www.b2bsoftech.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1995,Listed,,,,"8, Wardha Road, Near Lokmat Square",,68,15,440012,113,,,shreegrp1@dataone.in,www.dataone.in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1999,Listed,,,,3:00 AM,,67,15,400053,113,022- 26733131,022- 26733375  ,babaartslimited@yahoo.com,www.babaartslimited.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1991,Listed,,,,"51/1 A, Sarat Bose Road",,109,28,700025,113,91-033-24757952,,skumrao@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1987,Listed,,,,"71, Laxmi Building",,67,15,400001,113,,,info@bacilpharma.com,www.bacilpharma.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1972,Listed,,,,"Nicco House, 5th Floor",,109,28,700001,113,91-033-22489778,91-033-22101794,ppl@vsnl.in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1995,Listed,,,,320,,23,7,380022,113,  ,,mandalmk@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1995,Listed,,,,Bafna Towers,,88,24,600001,113,044- 25267517/25270992   ,044- 25231264  ,cs@bafnapharma.com,www.bafnapharma.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1990,Listed,,,,Bafna House,,89,24,641001,113,0422- 2306551 2306552   ,0422- 2306553  ,info@bafnalimited.in,www.bafnalimited.com ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1993,Listed,,,,"352, Aggarwal Plaza",,19,33,110096,113,,,info@bagfilms.com,www.bagnetwork24.in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1985,Listed,,,,"Shaniya Enclave, 5th Floor",,67,15,400056,113,022-26111982,022-26111932,bagadiacolourchem@rediffmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1948,Listed,,,,Stadium House,,67,15,400020,113,91-022-43552000 / 2011,91-022-22022884,investorsupport@esw.co.in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1981,Listed,,,,"16, Netaji Subhas Road",,109,28,700001,113,91-033-22580809,,bagariatrading@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1918,Listed,,,,3 Netaji Subhas Road,,109,28,700001,113,033 22489166,,Baghmari1234@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1984,Listed,,,,Office No.167,,67,15,400101,113,,,lrlsmahim@yahoo.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1991,Listed,,,,"Baid House, I I Floor",,85,22,302006,113,9214018877,,baidfinance@baidgroup.in,www.balfc.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1988,Listed,,,,52 Elliot Road,,109,28,700016,113,91-033-22892508,91-033-22892509,saptakroc@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,2007,Listed,,,,Bajaj Auto Ltd Complex,,70,15,411035,113,"27472851 (Extn 6063), 27406063",(020) 27407380,investors@bajajauto.co.in,www.bajajauto.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,2006,Listed,,,,Old Station Road,,87,22,313001,113,,,,www.bajajcorp.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1938,Listed,,,,45 - 47,,67,15,400001,113,"022-22043841, 22045046",022-22851279,legal@bajajelectricals.com,www.bajajelectricals.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1987,Listed,,,,Akrudi,,70,15,411035,113,020-30186072,020-30186364,anant.damle@bajajfinserv.in,www.bajajfinserv.in/finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,2007,Listed,,,,Bajaj Auto Ltd Complex,,70,15,411035,113,"020- 66107458, 27472851",020-27407380,investors@bajajfinserve.in,www.bajajfinserv.in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1985,Listed,,,,254,,68,15,440001,113,0712- 252771    ,0712- 2728050  ,cs@bajajngp.com.,www.bajajgloballtd.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1971,Listed,,,,Bajaj Bhawan 2nd Floor,,67,15,400021,113,022- 22049056 /58,022- 22048681,bhsil@bajajhindusthan.com,www.bajajhindusthansugar.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1931,Listed,,,,Golagokarannath,,227,27,262802,113,"05876-233754/5/7/8, 233403",05876-233401,investor.complaints@bajajhindusthan.com,www.bajajhindusthan.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1945,Listed,,,,Mumbai - Pune Road,,70,15,411035,113,"020-27472851, 27476151 ",020-27407380,vgupte@bhil.in,www.bajajauto.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1984,Listed,,,,Bajaj House,,19,33,110019,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1961,Listed,,,,Imambada Road,,68,15,440018,113,-621,-622.0018296,bsi@bajajngp.com,www.bajajngp.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1971,Listed,,,,"Remi House, Plot No. 11",,67,15,400063,113,022-40589888,022-26852335,baj_igrd@remigroup.com,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1980,Listed,,,,"214, C R Avenue",,109,28,700006,113,,,bakrapratisthan@in.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1987,Listed,,,,21 & 22,,43,12,560099,113,-27833145,-27835471,--,www.balpharma.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1982,Listed,,,,"Everest House, 3rd Floor",,109,28,700071,113,033-22881324,033-22880673,rajiv@ransalindia.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1988,Listed,,,,Falta Industrial Growth Centre,,109,28,743504,113,03174- 222252    ,-- ,bala@cal2.vsnl.net.in,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1990,Listed,,,,Falta Industrial Growth Centre,,109,28,743504,113,03174- 222245    ,-- ,--,www.balatechnosynthetics.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1994,Listed,,,,"74-2-19, Old Check Post Center",,7,1,520007,113,0866-2822672,0866-2822673,balajiagro@rediffmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1988,Listed,,,,Balaji Towers,,73,15,413224,113,,,cs@balajiamines.com,www.balajiamines.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1993,Listed,,,,Bye Pass Road,,88,24,600056,113,044- 26272436 26272169   ,044- 26272116  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1989,Listed,,,,Room No 215,,3,1,500003,113,-27716633,-27716634,balajigalvanising@gmail.com,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1989,Listed,,,,"New No.34, Old No.76",,88,24,600017,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1984,Listed,,,,Chemudugunta Village,,4,24,524320,113,     ,-- ,--,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1994,Listed,,,,C-13 Balaji House,,67,15,400053,113,91-022- 40698000    ,91-022- 4069 8181/82,investor@balajitelefilms.com,www.balajitelefilms.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1994,Listed,,,,"16/449, Somasekharapuram",,4,24,524001,113,0861-331985,0861-331686,balajims@airtelmail.in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1974,Listed,,,,Empire Infantry,,43,12,560001,113,080 22860792,080 41238976,headoffice@balanoor.com,www.balanoor.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1984,Listed,,,,Balgopalpur,,468,20,756020,113,06782-275781/82/83/84/85,06782-275724  ,"mail@balasorealloys.com, investorshelpline@balasorealloys.com",www.balasorealloys.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1982,Listed,,,,"C/14, Trade World, Kamala Mills Compound",,67,15,400013,113,022-66663800,022-66663898,shares@bkt-tires.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1961,Listed,,,,"B-66, Waluj Midc",,11,15,431136,113,,,shares@bkt-tires.com,www.bkt-tires.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1982,Listed,,,,"138, B R B Basu Road",,109,28,700001,113,91-033-22431543,91-033-22431543,scsoni@rediffmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1945,Listed,,,,P O Ballarpur Paper  Mills,,164,15,442901,113,07172-240200     ,07172-240548,sectdiv@bilt.com,www.bilt.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1924,Listed,,,,Balmer Lawrie House,,109,28,700001,113,033-22225313 / 22204718 / 22225218,033-22434479 / 22483768,ghosh.amit@balmerlawrie.com,www.balmerlawrie.com ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1994,Listed,,,,21,,109,28,700001,113,033- 2225618    ,033- 2483768  ,--,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,2001,Listed,,,,21,,109,28,700001,113,033 22225292,033 22225678,ghosh.pk@balmerlawrie.com ,www.blinv.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1975,Listed,,,,F M C Fortuna,,109,28,700020,113,91-033-22874749    ,91-033-22873083 22808874 ,bmcl@bcml.in,www.chini.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1993,Listed,,,,170 / 2 C,,109,28,700014,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1983,Listed,,,,"E Block, 4th Floor",,3,1,500003,113,040- 44363322,040- 27816615  ,cs@bambinoagro.com,www.bambinofood.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1995,Listed,,,,100 A,,19,33,110055,113,011- 23556436    ,011- 23617013  ,bampslsecurities@yahoo.co.in,www.bampslsecurities.co.in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1980,Listed,,,,"A - 1 , Industrial Estate",,104,27,221106,113,-451.9999987,-451.9999793,info@banarasbead.com,www.banarasbead.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1983,Listed,,,,"E-109, Crystal Plaza",,67,15,400053,113,91-022-61522225,91-022-61522234,banasfin@gmail.com,www.banasfinance.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1961,Listed,,,,B I L,,33,7,391410,113,+91-265- 2680220 2680221 2680222 2680223 ,-2680607,investor@bancoindia.com,www.bancoindia.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1992,Listed,,,,Masjid Manor,,67,15,400023,113,022-22043496    ,022-22810379  ,ipo@Banggroup.Com,www.banggroup.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1973,Listed,,,,"Room No 1, Ground Floor",,109,28,700029,113,91-033-24635892,,bangalaxmi@rediffmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1965,Listed,,,,"44,3rd Floor, South End Road",,43,12,560004,113,080-21975051,080-40944138,info@bangalorefortfarms.com,www.bangalorefortfarms .com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1986,Listed,,,,"No.334/22, 1st Floor",,43,12,56007,113,,,sragothaman@bangaloresoftsell.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1911,Listed,,,,"Baroda House , P . B . No . 506",,33,7,390006,113,0265-2563932  ,0265-2562445 ,ed.bb@bankofbaroda.com,www.bankofbaroda.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1906,Listed,,,,"Star House , C - 5 , ' G ' Block",,67,15,400051,113,022-66684840 / 41,022-66684491  ,headoffice.god@bankofindia.co.in,www.bankofindia.co.in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1935,Listed,,,,"1501 , "" Lokmangal """,,70,15,411005,113,"020-25532731, 733, 734, 735, 736","020-25513122 , 25533246",investor_services@mahabank.co.in,www.bankofmaharashtra.in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1986,Listed,,,,Mittal Estate,,67,15,400059,113,     ,-- ,--,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1982,Listed,,,,"62, Bentinck Street,  1st Floor",,109,28,700069,113,91-033-22378121,,satnaliwala@hotmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1914,Listed,,,,Mcleod House,,109,28,700001,113,91-033-22487994,,mcleodbajoria@hotmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1989,Listed,,,,"252, Mettupalayam Road.",,89,24,641043,113,0422- 2435555 /2447959   ,0422- 2430233 / 2434446,shares@bannarimills.com,www.bannarimills.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1983,Listed,,,,1212,,89,24,641018,113,91-0422- 2302277    ,91-0422-2309999,shares@bannari.com,www.bannari.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,2008,Listed,,,,"3/2, Labdhi Industrial Estate",,33,7,390004,113,91-265-2580178,91-265-2581365,cs@bansalroofing.com,www.bansalroofing.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
